"Source: yahoo Finance, stock ticker: AMD",,,,,,,,,Number of States,,,,,,,,,,,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume,Return,Empirical Distribution,2,3,4,Strategy1,Strategy 2,,,,,,,,,,,,
21/03/1983,8.96875,9.03125,8.8125,9,9,510800,0%,58.32%,2,2,3,,,Observed,1,2,,,,Expected,1,2,,,
22/03/1983,8.71875,8.96875,8.5,8.5,8.5,328000,-3%,17.53%,1,1,1,0.00%,0%,1,2530,2545,,,,1,2537.5,2537.5,,,
23/03/1983,8.5,8.8125,8.46875,8.71875,8.71875,427200,3%,84.05%,2,3,4,0.00%,3%,2,2546,2649,,,,2,2597.5,2597.5,,,
24/03/1983,8.71875,8.78125,8.65625,8.78125,8.78125,393200,1%,63.47%,2,2,3,0.72%,0%,,,,,,,,,,,,
25/03/1983,8.90625,9.0625,8.75,8.875,8.875,210400,0%,46.44%,1,2,2,0.00%,0%,,Chi-Sq,2.086490895,p-value,0.148607074,,,,,,,
28/03/1983,8.84375,9.03125,8.65625,8.6875,8.6875,494800,-2%,25.25%,1,1,2,0.00%,0%,,,,,,,,,,,,
29/03/1983,8.59375,8.84375,8.34375,8.4375,8.4375,778000,-2%,24.67%,1,1,1,0.00%,0%,Observed,1,2,3,,,Expected,1,2,3,,
30/03/1983,8.65625,8.8125,8.46875,8.75,8.75,417200,1%,68.46%,2,3,3,0.00%,1%,1,1169,1099,1159,,,1,1142.333333,1142.333333,1142.333333,,
31/03/1983,9,9.5625,8.3125,8.375,8.375,642400,-7%,1.58%,1,1,1,0.00%,0%,2,1105,1216,1098,,,2,1139.666667,1139.666667,1139.666667,,
4/04/1983,8.25,8.34375,8,8.28125,8.28125,772000,0%,58.80%,2,2,3,0.00%,0%,3,1153,1104,1167,,,3,1141.333333,1141.333333,1141.333333,,
5/04/1983,8.25,8.46875,8.15625,8.15625,8.15625,603600,-1%,34.79%,1,2,2,0.00%,0%,,,,,,,,,,,,
